tool_id	name	description	panel_section_id	panel_section_name
toolshed.g2.bx.psu.edu/repos/iuc/blastxml_to_gapped_gff3/blastxml_to_gapped_gff3/1.1	BlastXML to gapped GFF3		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/genouest/braker/braker/2.1.6+galaxy0	Braker genome annotation		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/gga/genenotebook_genenotebook_build/genenotebook_build/0.4.18+galaxy1	Build a GeneNoteBook		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	Busco	Assess genome assembly and annotation completeness	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/cpat/cpat/3.0.5+galaxy1	CPAT	coding potential assessment	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/picrust_categorize/picrust_categorize/1.1.1.0	Categorize	by collapsing hierarchical data to a specified functional level	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/rnateam/chipseeker/chipseeker/1.28.3+galaxy0	ChIPseeker	for ChIP peak annotation and visualization	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_allelecall/chewbbaca_allelecall/3.3.10+galaxy0	ChewBBACA AlleleCall	Determine the allelic profiles of a set of genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/picrust_compare_biom/picrust_compare_biom/1.1.1.0	Compare BIOM tables	Compare the accuracy of biom files (expected and observed) either by observations (default) or by samples.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/1.4	Compute	an expression on every row	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gff_to_prot/gff_to_prot/3.2.3+galaxy0	Convert GFF3	to prot_table for TRANSIT	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/progressivemauve/xmfa2gff3/2015_02_13.1	Convert XMFA to gapped GFF3		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/homer_gtf_to_annotations/homer_gtf_to_annotations/4.11+galaxy0	Converts GTF to Annotations file for Homer		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/coreprofiler_allele_calling/coreprofiler_allele_calling/2.0.0+galaxy2	CoreProfiler allele_calling	Calls cgMLST alleles from a bacterial genome using a reference scheme	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/nml/cryptogenotyper/CryptoGenotyper/1.5.0+galaxy0	CryptoGenotyper	classifies Cryptosporidium species subtypes based on SSU rRNA and gp60 gene markers from Sanger sequencing data.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/deeparg_predict/deeparg_predict/1.0.4+galaxy1	DeepARG predict	Antibiotic Resistance Genes (ARGs) from metagenomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/deeparg_short_reads/deeparg_short_reads/1.0.4+galaxy1	DeepARG short reads	pipeline to detect Antibiotic Resistance Genes (ARGs) from raw reads	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/deepsig/deepsig/1.2.5+galaxy0	DeepSig	signal peptides predictor	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/dotknot/dotknot/1.3.1	DotKnot	pseudoknot prediction in a given RNA sequence	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/evidencemodeler/evidencemodeler/2.1.0+galaxy0	EVidenceModeler	combines ab intio gene predictions, protein and transcript alignments into gene structures	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/exonerate/exonerate/2.4.0	Exonerate	pairwise sequence comparison	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/exonerate/exonerate/2.4.0+galaxy2	Exonerate	pairwise sequence comparison	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/fastani/fastani/1.3	FastANI	fast alignment-free computation of whole-genome Average Nucleotide Identity	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/fastoma/fastoma/0.5.1+galaxy0	FastOMA	Infer orthology relationships	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_fasta_translate/edu.tamu.cpt.fasta.seq_trans/19.1.0.0	Fasta Translate	Translate fasta file	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/rnateam/sortmerna/bg_sortmerna/4.3.6+galaxy0	Filter with SortMeRNA	of ribosomal RNAs in metatranscriptomic data	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/picrust_format_tree_and_trait_table/picrust_format_tree_and_trait_table/1.1.1.0	Format	tree and trait tables	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/funannotate_clean/funannotate_clean/1.8.17+galaxy0	Funannotate assembly clean		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/funannotate_compare/funannotate_compare/1.8.15+galaxy5	Funannotate compare	annotations	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/funannotate_annotate/funannotate_annotate/1.8.17+galaxy5	Funannotate functional	annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/funannotate_predict/funannotate_predict/1.8.17+galaxy0	Funannotate predict annotation		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/althonos/gecco/gecco/0.9.6	GECCO	is a fast and scalable method for identifying putative novel Biosynthetic Gene Clusters (BGCs) in genomic and metagenomic data using Conditional Random Fields (CRFs).	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_gff_add_parents/edu.tamu.cpt.gff3.cdsParents/19.1.0.0	GFF3 Add Gene to CDS	is one step of fixing a gene model--adding parent gene features to CDSs	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_fix_sixpack/edu.tamu.cpt.gff3.fixsixpack/19.1.0.0	GFF3 Add Gene to CDS for Sixpack	Properly formats naive ORF caller output for Apollo	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_gff_extract_seq/edu.tamu.cpt.gff3.export_seq/19.1.0.0	GFF3 Feature Sequence Export	Export corresponding sequence in genome from GFF3	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_type_filter/edu.tamu.cpt.gff3.filter_type/19.1.0.0	GFF3 Feature Type Filter	selects features from a gff3 file based on feature type	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_req_phage_start/edu.tamu.cpt.gff3.require_phage_start/19.1.0.0	GFF3 Filter: Require Phage Start	ensures start is ATG, TTG, or GTG	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/goenrichment/goenrichment/2.0.1	GOEnrichment	performs GO enrichment analysis of a set of gene products	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/goslimmer/goslimmer/1.0.1	GOSlimmer	converts a set of annotation from GO to a given GOSlim version	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/bp_genbank2gff3/bp_genbank2gff3/1.1	Genbank to GFF3	converter	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_genome_editor/edu.tamu.cpt.gff3.genome_editor/2.1	Genome Editor	allows you to re-arrange a genome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/jcvi_gff_stats/jcvi_gff_stats/0.8.4	Genome annotation statistics		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_get_orfs/get_orfs_or_cdss/19.1.0.0	Get open reading frames (ORFs) or coding sequences (CDSs)	e.g. to get peptides from ESTs	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_require_shine/edu.tamu.cpt.gff3.require_sd/19.1.0.0	Gff3 Filter: Require SD	ensures CDSs have an SD	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.12.6+galaxy0	GffCompare	compare assembled transcripts to a reference annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/glimmer_build_icm/glimmer_build_icm/3.02+galaxy2	Glimmer ICM builder		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/glimmer_knowledge_based/glimmer_knowledge_based/3.02+galaxy2	Glimmer3	Predict ORFs in prokaryotic genomes (knowlegde-based)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/glimmer_not_knowledge_based/glimmer_not_knowledge_based/3.02+galaxy2	Glimmer3	Predict ORFs in prokaryotic genomes (not knowlegde-based)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_convert_glimmer/edu.tamu.cpt2.util.glimmer3_to_gff3/19.1.0.0	Glimmer3 to GFF3	convert formats	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/rnateam/gotohscan/rbc_gotohscan/1.3.0	GotohScan	Find subsequences in db	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/groot/groot/1.1.2+galaxy2	Groot	align reads to references and weight variation graphs and generate report	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gubbins/gubbins/3.2.1+galaxy0	Gubbins	Recombination detection in Bacteria	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/guerler/hhsearch/hhsearch/3.2.0+galaxy0	HHsearch	detecting remote homologues of proteins	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/genouest/helixer/helixer/0.3.3+galaxy1	Helixer	gene calling	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/icescreen/icescreen/1.3.3+galaxy0	ICEscreen	annotates ICEs and IMEs in Bacillota genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/isescan/isescan/1.7.3+galaxy0	ISEScan	Insertion Sequence Elements detection in prokaryotic genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_lipory/edu.tamu.cpt.fasta.lipory/19.1.0.0	Identify Lipoboxes	in protein sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/integron_finder/integron_finder/2.0.5+galaxy0	Integron Finder	is a program that detects integrons in DNA sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/interproscan/interproscan/5.59-91.0+galaxy3	InterProScan	functional annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_intron_detection/edu.tamu.cpt2.phage.intron_detection/19.1.0.0	Interrupted gene detection tool	based on nearby protein blast results	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_intersect_adj/edu.tamu.cpt.gff3.intersect_and_adjacent/21.0.0	Intersect and Adjacent	Outputs nearby top-level GFF features from two GFF3 files	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/kobas/kobas_annotate/2.1.1	KOBAS Annotate	KEGG Orthology Based Annotation System	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/kobas/kobas_identify/2.1.1	KOBAS Identify	KEGG Orthology Based Annotation System	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/kofamscan/kofamscan/1.3.0+galaxy4	KofamScan	gene function annotation based on KEGG orthology and HMM	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/prog/lcmsmatching/lcmsmatching/3.0	LC/MS matching	Annotation of MS peaks using matching on a spectra database.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/spaln/list_spaln_tables/2.4.9+galaxy0	List spaln parameter tables	Given a query species, list the spaln settings tables that exist, from closest related species to most different	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/mitos/mitos/1.1.7+galaxy0	MITOS	de-novo annotation of metazoan mitochondrial genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/mitos2/mitos2/2.1.10+galaxy0	MITOS2	de-novo annotation of metazoan mitochondrial genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/mlst/mlst/2.22.0	MLST	Scans genomes against PubMLST schemes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/mlst/mlst_list/2.22.0	MLST List	Lists available schemes for the MLST tool	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/mmseqs2_taxonomy_assignment/mmseqs2_taxonomy_assignment/17-b804f+galaxy0	MMseqs2 Taxonomy Assignments	of sequences by comparing them to a reference database	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/nml/mob_suite/mob_recon/3.1.9+galaxy0	MOB-Recon	Type contigs and extract plasmid sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/nml/mob_suite/mob_typer/3.1.9+galaxy1	MOB-Typer	Get the plasmid type and mobility given its sequence	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/maker/maker/2.31.11+galaxy2	Maker	genome annotation pipeline	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/maker_map_ids/maker_map_ids/2.31.11	Map annotation ids	on a Maker annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/picrust_metagenome_contributions/picrust_metagenome_contributions/1.1.1.0	Metagenome Contributions	of OTUs to user-specified functions	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/miniprot/miniprot/0.18+galaxy0	Miniprot align	align a protein sequence against a genome with affine gap penalty, splicing and frameshift	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/miniprot_index/miniprot_index/0.18+galaxy1	Miniprot index	build a genome index for miniprot	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/mirmachine/mirmachine/0.3.0.2+galaxy0	MirMachine	A tool to detect miRNA homologs in genome sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/richard-burhans/ncbi_egapx/ncbi_egapx/0.4.1+galaxy1	NCBI EGAPx	annotates eukaryotic genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/richard-burhans/ncbi_fcs_adaptor/ncbi_fcs_adaptor/0.5.0+galaxy0	NCBI FCS Adaptor	detects contamination from foreign organisms in genome sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/nucleosome_prediction/Nucleosome/3.0	Nucleosome Predictions		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/find_subsequences/bg_find_subsequences/0.2	Nucleotide subsequence search	providing regions in BED format	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/omark/omark/0.3.1+galaxy1	OMArk	proteome quality assessment	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/optitype/optitype/1.3.5+galaxy0	OptiType	HLA genotyping predictions from NGS data	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/orthofinder_onlygroups/orthofinder_onlygroups/2.5.5+galaxy1	OrthoFinder	finds orthogroups in a set of proteomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/ppanggolin_msa/ppanggolin_msa/2.2.6+galaxy0	PPanGGOLiN MSA	computes MSA of pangenome's gene families	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/ppanggolin_all/ppanggolin_all/2.2.6+galaxy0	PPanGGOLiN all	generates a partitioned pangenome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/ppanggolin_projection/ppanggolin_projection/2.2.6+galaxy0	PPanGGOLiN projection	annotates external genomes using an existing pangenome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/ppanggolin_rarefaction/ppanggolin_rarefaction/2.2.6+galaxy0	PPanGGOLiN rarefaction	computes the rarefaction curve of the pangenome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/psortb/psortb/3.0.6	PSORTb	Protein subcellular localization prediction for prokaryotes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/panta/panta/1.0.1+galaxy2	PanTA	Efficient inference of large prokaryotic pangenomes with PanTA	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/galaxy-australia/panaroo/panaroo/1.5.2+galaxy0	Panaroo	A Bacterial Pangenome Analysis Pipeline	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/pfamscan/pfamscan/1.6+galaxy0	PfamScan	search a FASTA sequence against a library of Pfam HMM	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_phageqc_annotations/edu.tamu.cpt2.phage.annotation_validator/1.9.0	Phage QC	validate phage annotations	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/plasmidfinder/plasmidfinder/2.1.6+galaxy1	PlasmidFinder	Plasmid identification in bacteria.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/picrust_predict_metagenomes/picrust_predict_metagenomes/1.1.1.0	Predict Metagenome	based on the abundance of OTUs and a functional database	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_prep_for_apollo/edu.tamu.cpt.gff3.prepForApollo/20.8.0.0	Prep GFF3 Input for Apollo	by ensuring that CDS features have a wrapping exon feature	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/mmonsoor/probmetab/Probmetab/1.0.1	ProbMetab Tool	Wrapper function for ProbMetab R package.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/prodigal/prodigal/2.6.3+galaxy0	Prodigal Gene Predictor	A tool for gene prediction in microbial genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.14.6+galaxy1	Prokka	Prokaryotic genome annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/promoter2/0.0.13	Promoter 2.0	Find eukaryotic PolII promoters in DNA sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_protein_blast_grouping/edu.tamu.cpt.blast.protein_grouping/0.0.1	Protein Blast Grouping	Based on a BLASTp result	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/rxlr_motifs/0.0.17	RXLR Motifs	Find RXLR Effectors of Plant Pathogenic Oomycetes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_gff_rebase/gff3.rebase/19.1.0.0	Rebase GFF3 features	against parent features	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/red/red/2018.09.10+galaxy1	Red	repeat masking	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_prophage_relatedness/edu.tamu.cpt2.phage.relatedProphages/21.1.0.0	Related Prophages tool		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_remove_annotations/edu.tamu.cpt.gff3.remove_annots/19.1.0.1	Remove Annotation Feature	that's unused in our GFF tools	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_gbk_renumber/edu.tamu.cpt.genbank.RelabelTags/0.4	Renumber GenBank Genes	relabels/renumbers GenBank tags according to rules	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/gga/repeatexplorer_clustering/repeatexplorer_clustering/2.3.8+galaxy0	RepeatExplorer (clustering)	repeat discovery and characterization using graph-based sequence clustering	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/repeat_masker/repeatmasker_wrapper/4.1.5+galaxy0	RepeatMasker	screen DNA sequences for interspersed repeats and low complexity regions	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/csbl/repeatmodeler/repeatmodeler/2.0.5+galaxy0	RepeatModeler	Model repetitive DNA	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/roary/roary/3.13.0+galaxy3	Roary	the pangenome pipeline - Quickly generate a core gene alignment from gff3 files	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/microsatbed/microsatbed/1.3.3+galaxy1	STR to bed	Short Tandem Repeats to bed features from fasta	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/ecology/sanntis_marine/sanntis_marine/0.9.3.5+galaxy1	Sanntis biosynthetic gene clusters	in genomic and metagenomic data	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_shinefind/edu.tamu.cpt.genbank.shinefind/21.1.0.0	Shine Find	Identify shine-dalgarno sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/signalp3/0.0.20	SignalP 3.0	Find signal peptides in protein sequences	annotation	Annotation
snpSift_geneSets	SnpSift GeneSets	Annotating GeneSets, such as Gene Ontology, KEGG, Reactome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/funannotate_sort/funannotate_sort/1.8.17+galaxy0	Sort assembly		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/spaln/spaln/2.4.9+galaxy0	Spaln: align cDNA or Protein to genome	Maps and aligns a set of cDNA or protein sequences onto a whole genomic sequence.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/spotyping/spotyping/2.1+galaxy2	SpoTyping	fast and accurate in silico Mycobacterium spoligotyping from sequence reads	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/tapscan/tapscan_classify/4.76+galaxy0	TAPScan Classify	Detect Transcription Associated Proteins (TAPs)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tb_variant_filter/tb_variant_filter/0.4.0+galaxy0	TB Variant Filter	M. tuberculosis H37Rv VCF filter	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tbvcfreport/tbvcfreport/1.0.1+galaxy0	TB Variant Report	- generate HTML report from SnpEff annotated M.tb VCF(s)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tb_profiler_collate/tb_profiler_collate/6.6.5+galaxy1	TB-Profiler Collate	Combines multiple TB-Profiler JSON reports into summary and variants reports	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tbprofiler/tb_profiler_profile/6.6.4+galaxy0	TB-Profiler Profile	Infer strain types and drug resistance markers from sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tetyper/tetyper/1.1+galaxy2	TETyper	Transposable Element Typer	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/te_finder/te_finder/1.0.1+galaxy1	TEfinder	Transposable element insertions finder	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/tmhmm2/0.0.17	TMHMM 2.0	Find transmembrane domains in protein sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/transit_gumbel/transit_gumbel/3.2.3+galaxy0	TRANSIT Gumbel	- determine essential genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/transit_hmm/transit_hmm/3.2.3+galaxy0	TRANSIT HMM	- determine essentiality of a genome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/transit_resampling/transit_resampling/3.2.3+galaxy0	TRANSIT Resampling	- determine per-gene p-values	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/transit_tn5gaps/transit_tn5gaps/3.2.3+galaxy0	TRANSIT Tn5Gaps	- determine essential genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tsebra/tsebra/1.1.2.5+galaxy0	TSEBRA	tanscript selector for BRAKER	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/tbl2gff3/tbl2gff3/1.2	Table to GFF3		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/augustus_training/augustus_training/3.5.0+galaxy0	Train Augustus	ab-initio gene predictor	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/snap_training/snap_training/2013_11_29+galaxy1	Train SNAP	ab-initio gene predictor	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/transtermhp/transtermhp/2.09.1	TransTermHP	finds rho-independent transcription terminators in bacterial genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/windowmasker/windowmasker_mkcounts/1.0	WindowMasker mkcounts	Construct WindowMasker unit counts table	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/windowmasker/windowmasker_ustat/1.0	WindowMasker ustat	Mask sequences using a WindowMasker unit counts table	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/wolf_psort/0.0.12	WoLF PSORT	Eukaryote protein subcellular localization prediction	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/abritamr/abritamr/1.0.20+galaxy0	abriTAMR	AMR gene detection with AMRFinderPlus	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_add-read-counts/smf-v1.7-0_utils-v2.1.1-3	add-read-counts	Annotate sequences by adding the read counts from a bam file, within a region contained in the fasta header of the dbn file	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_alimask/hmmer_alimask/3.4+galaxy0	alimask	append modelmask line to a multiple sequence alignments	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids/3.18.0+galaxy0	annotateMyIDs	annotate a generic set of identifiers	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/homer_annotatepeaks/homer_annotatePeaks/4.11+galaxy3	annotatePeaks		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/argnorm/argnorm/1.0.0+galaxy0	argNorm	a tool to normalize antibiotic resistance genes (ARGs) by mapping them to the antibiotic resistance ontology (ARO)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/autobigs/autobigs-cli/0.6.2+galaxy0	autoBIGS.cli	Automated MLST typing	annotation	Annotation
